emp_no,first_name,gender,salary,to_date
10198,Pranav,M,44076,9999-01-01
10001,Georgi,M,60117,9999-01-01
10004,Chirstian,M,40054,9999-01-01
10009,Sumant,F,60929,9999-01-01
10018,Kazuhide,F,55881,9999-01-01
10035,Alain,M,41538,9999-01-01
10053,Sanjiv,F,67854,9999-01-01
10058,Berhard,M,52787,9999-01-01
10066,Kwee,M,69736,9999-01-01
10067,Claudi,M,44642,9999-01-01
10070,Reuven,M,55999,9999-01-01
10072,Hironoby,F,40000,9999-01-01
10076,Erez,F,47319,9999-01-01
10088,Jungsoon,F,65957,9999-01-01
10100,Hironobu,F,54398,9999-01-01
10103,Akemi,M,68158,9999-01-01
10126,Kayoko,M,40000,9999-01-01
10129,Armond,M,40000,9999-01-01
10130,Nishit,M,40000,9999-01-01
10134,Diederik,M,40000,9999-01-01
10138,Perry,M,53574,9999-01-01
10150,Zhenbing,F,70122,9999-01-01
10153,Heekeun,M,54246,9999-01-01
10157,Nigel,M,48770,9999-01-01
10372,Anneli,F,54505,9999-01-01
10387,Parto,F,61374,9999-01-01
10396,Sibyl,M,40393,9999-01-01
10402,Volkmar,M,40000,9999-01-01
10404,Prodip,F,51647,9999-01-01
10426,Arunas,F,65757,9999-01-01
10429,Martien,F,40000,9999-01-01
10432,Hisao,F,40000,9999-01-01
10451,Bodh,F,46275,9999-01-01
10453,Tsvetan,F,40000,9999-01-01
10463,Ung,M,66480,9999-01-01
10486,Amstein,F,71692,9999-01-01
10494,Yakkov,F,50094,9999-01-01
10504,Xiong,M,43931,9999-01-01
10512,Udi,M,40000,9999-01-01
10522,Marke,F,40000,9999-01-01
10548,Ramalingam,M,90631,9999-01-01
10564,Jianhao,M,46660,9999-01-01
10623,Aleksander,F,60268,9999-01-01
10628,Krisda,M,41650,9999-01-01
10631,Inderjeet,M,40000,9999-01-01
10642,Hirochika,M,40000,9999-01-01
10653,Otmar,M,40000,9999-01-01
10671,Parviz,M,74037,9999-01-01
10676,Valeri,F,58226,9999-01-01
10693,Berhard,F,40000,9999-01-01
10702,Bader,M,46581,9999-01-01
10718,Adib,M,75473,9999-01-01
10726,Zita,F,46315,9999-01-01
10734,Sachar,M,47377,9999-01-01
10745,Poorav,F,40000,9999-01-01
10749,King,M,60829,9999-01-01
10767,Monique,F,40651,9999-01-01
10768,Ishfaq,M,65717,9999-01-01
10778,Selwyn,M,64996,9999-01-01
10791,Tadahiko,M,40000,9999-01-01
10795,Supot,M,84206,9999-01-01
10808,Chenxi,M,40000,9999-01-01
10835,Tomoyuki,M,40000,9999-01-01
10836,Jianhua,F,65502,9999-01-01
10844,Dipayan,M,40000,9999-01-01
10847,Theirry,M,40000,9999-01-01
10848,Fen,F,50475,9999-01-01
10878,Lakshmi,M,72102,9999-01-01
10879,Muzhong,F,65651,9999-01-01
10883,Shimshon,M,40000,9999-01-01
10909,Georgi,M,80935,9999-01-01
10921,Mara,F,72601,9999-01-01
10924,Hironoby,F,84783,9999-01-01
10927,Gal,M,51819,9999-01-01
10936,Mountaz,F,40000,9999-01-01
10943,Berna,M,45890,9999-01-01
10965,Eckart,M,61654,9999-01-01
10969,Premal,M,40000,9999-01-01
10974,Muneo,M,56005,9999-01-01
10986,Masako,M,43900,9999-01-01
10988,Chinya,M,54174,9999-01-01
10989,Sumali,F,46406,9999-01-01
10990,Shin,M,40000,9999-01-01
11009,Alper,F,75111,9999-01-01
11012,Taegyun,F,72092,9999-01-01
11019,Leon,M,69387,9999-01-01
11021,Srinidhi,F,62670,9999-01-01
11027,Remzi,M,40000,9999-01-01
11031,Ottavia,M,71654,9999-01-01
11037,Lansing,M,40000,9999-01-01
11038,Jinya,M,44993,9999-01-01
11042,Gou,F,40000,9999-01-01
11048,Jaques,M,65697,9999-01-01
11050,Elvis,M,52251,9999-01-01
11051,Przemyslawa,F,40000,9999-01-01
11070,Adib,M,40000,9999-01-01
11081,Barry,M,65686,9999-01-01
11085,Hailing,M,66437,9999-01-01
11100,Berna,M,40000,9999-01-01
